,stateDt,decideCnt,clearCnt,deathCnt,examCnt,careCnt,resnegCnt,accdefRate,dthCnt,decCnt,enCnt,clCnt
0,20201106,27195,24821,476,25629,1898,2633490,1.0221052097,1,145,11896,86
1,20201105,27050,24735,475,25062,1840,2621594,1.0212773026,1,125,10514,119
2,20201104,26925,24616,474,24255,1835,2611080,1.0206576560,2,118,13843,106
3,20201103,26807,24510,472,25815,1825,2597237,1.0215911013,4,75,12843,115
4,20201102,26732,24395,468,25524,1869,2584394,1.0237728857,2,97,5237,38
5,20201101,26635,24357,466,24838,1812,2579157,1.0221460500,2,124,6854,46
6,20201031,26511,24311,464,25678,1736,2572303,1.0201191774,1,126,12830,84
7,20201030,26385,24227,463,26373,1695,2559473,1.0203576530,1,114,13914,59
8,20201029,26271,24168,462,26148,1641,2545559,1.0214905339,1,125,11649,95
9,20201028,26146,24073,461,22904,1612,2533910,1.0213057839,1,103,15369,92
10,20201027,26043,23981,460,23003,1602,2518541,1.0234678831,3,88,12995,76
11,20201026,25955,23905,457,20763,1593,2505546,1.0252810486,0,119,6918,36
12,20201025,25836,23869,457,21682,1510,2498628,1.0234251706,0,61,5612,35
13,20201024,25775,23834,457,21888,1484,2493016,1.0233084047,2,77,10523,117
14,20201023,25698,23717,455,20430,1526,2482493,1.0245631213,2,155,12524,70
15,20201022,25543,23647,453,19813,1443,2469969,1.0235574904,3,119,11395,63
16,20201021,25424,23584,450,19493,1390,2458574,1.0235112910,3,91,11975,118
17,20201020,25333,23466,447,19379,1420,2446599,1.0248259256,3,58,9411,98
18,20201019,25275,23368,444,16763,1463,2437188,1.0264113613,0,76,5639,56
19,20201018,25199,23312,444,17781,1443,2431549,1.0257055261,1,91,5448,54
20,20201017,25108,23258,443,17318,1407,2426101,1.0243108604,2,73,9065,78
21,20201016,25035,23180,441,17355,1414,2417036,1.0251544693,2,47,9547,98
22,20201015,24988,23082,439,18262,1467,2407489,1.0272656226,1,99,9320,52
23,20201014,24889,23030,438,18396,1421,2398169,1.0271731010,4,84,14327,167
24,20201013,24805,22863,434,20124,1508,2383842,1.0298312704,1,102,12127,134
25,20201012,24703,22729,433,19192,1541,2371715,1.0308301807,0,0,0,1
26,20201012,24703,22728,433,19192,1542,2371715,1.0308301807,1,97,5141,35
27,20201011,24606,22693,432,19303,1481,2366574,1.0290316914,2,58,5420,69
28,20201010,24548,22624,430,18982,1494,2361154,1.0289633826,2,72,6096,55
29,20201009,24476,22569,428,20699,1479,2355058,1.0286047604,1,54,11614,106
30,20201008,24422,22463,427,20978,1532,2343444,1.0313928237,2,69,11862,129
31,20201007,24353,22334,425,22138,1594,2331582,1.0336872621,3,114,13125,251
32,20201006,24239,22083,422,22737,1734,2318457,1.0346626280,0,75,12690,197
33,20201005,24164,21886,422,22447,1856,2305767,1.0371122578,1,73,5629,41
34,20201004,24091,21845,421,22116,1825,2300138,1.0365157650,1,64,5593,58
35,20201003,24027,21787,420,21287,1820,2294545,1.0362844026,4,75,4715,54
36,20201002,23952,21733,416,19995,1803,2289830,1.0351882761,1,63,5313,67
37,20201001,23889,21666,415,20029,1808,2284517,1.0348699492,2,77,5926,76
38,20200930,23812,21590,413,20596,1809,2278591,1.0342238087,0,0,0,-1
39,20200930,23812,21591,413,20596,1808,2278591,1.0342238087,6,113,9302,121
40,20200929,23699,21470,407,20056,1822,2269289,1.0335422601,1,38,10234,178
41,20200928,23661,21292,406,18587,1963,2259055,1.0365284161,5,50,5027,44
42,20200927,23611,21248,401,18878,1962,2254028,1.0366436472,2,95,5707,82
43,20200926,23516,21166,399,18508,1951,2248321,1.0351094730,4,61,11075,188
44,20200925,23455,20978,395,19575,2082,2237246,1.0375100466,2,114,12370,146
45,20200924,23341,20832,393,20782,2116,2224876,1.0382004939,5,125,11720,182
46,20200923,23216,20650,388,20527,2178,2213156,1.0381099387,0,110,14372,209
47,20200922,23106,20441,388,23222,2277,2198784,1.0399254688,3,61,12776,193
48,20200921,23045,20248,385,22536,2412,2186008,1.0432072023,2,70,6556,90
49,20200920,22975,20158,383,24274,2434,2179452,1.0431673785,5,82,7888,188
50,20200919,22893,19970,378,24705,2545,2171564,1.0432193476,1,110,13385,199
51,20200918,22783,19771,377,25403,2635,2158179,1.0446307638,5,126,14452,228
52,20200917,22657,19543,372,25508,2742,2143727,1.0458441347,5,153,13241,233
53,20200916,22504,19310,367,25842,2827,2130486,1.0452440559,0,113,15609,432
54,20200915,22391,18878,367,27310,3146,2114877,1.0476458731,4,106,13636,389
55,20200914,22285,18489,363,27476,3433,2101241,1.0494338190,5,109,7852,263
56,20200913,22176,18226,358,27705,3592,2093389,1.0482306145,3,121,7813,197
57,20200912,22055,18029,355,27826,3671,2085576,1.0464355477,5,136,17707,413
58,20200911,21919,17616,350,29423,3953,2067869,1.0488623726,4,176,23039,256
59,20200910,21743,17360,346,33018,4037,2044830,1.0521283303,2,155,20717,337
60,20200909,21588,17023,344,36533,4221,2024113,1.0552861830,3,156,22837,387
61,20200908,21432,16636,341,43370,4455,2001276,1.0595696462,5,136,18384,339
62,20200907,21296,16297,336,47109,4663,1982892,1.0625749680,2,119,7755,151
63,20200906,21177,16146,334,49621,4697,1975137,1.0608050637,1,167,11179,137
64,20200905,21010,16009,333,52077,4668,1963958,1.0584553504,2,168,18160,226
65,20200904,20842,15783,331,52266,4728,1945798,1.0597770817,2,198,21414,254
66,20200903,20644,15529,329,55524,4786,1924384,1.0613728954,3,195,21286,173
67,20200902,20449,15356,326,56748,4767,1903098,1.0630881387,2,267,20943,158
68,20200901,20182,15198,324,56743,4660,1882155,1.0609056124,0,235,22289,225
69,20200831,19947,14973,324,57876,4650,1859866,1.0611161854,1,248,13416,70
70,20200830,19699,14903,323,58021,4473,1846450,1.0555963109,2,299,10567,138
71,20200829,19400,14765,321,54046,4314,1835883,1.0456625754,5,323,17954,214
72,20200828,19077,14551,316,50711,4210,1817929,1.0384832711,3,371,19097,90
73,20200827,18706,14461,313,52041,3932,1798832,1.0291944377,1,441,20386,93
74,20200826,18265,14368,312,52795,3585,1778446,1.0165797393,2,320,20916,82
75,20200825,17945,14286,310,50362,3349,1757530,1.0107154423,1,280,18768,67
76,20200824,17665,14219,309,47995,3137,1738762,1.0057349380,0,266,12539,19
77,20200823,17399,14200,309,47564,2890,1726223,0.9978653630,0,397,9852,31
78,20200822,17002,14169,309,42427,2524,1716371,0.9808621687,0,332,16963,49
79,20200821,16670,14120,309,38045,2241,1699408,0.9714010668,2,324,16669,57
80,20200820,16346,14063,307,34998,1976,1682739,0.9620472195,1,288,14755,57
81,20200819,16058,14006,306,31022,1746,1667984,0.9535391635,0,297,11922,72
82,20200818,15761,13934,306,25219,1521,1656062,0.9427433406,1,246,6071,17
83,20200817,15515,13917,305,22964,1293,1649991,0.9315487305,0,197,5527,7
84,20200816,15318,13910,305,22005,1103,1644464,0.9228922834,0,279,5825,9
85,20200815,15039,13901,305,21618,833,1638639,0.9094273492,0,166,8560,38
86,20200814,14873,13863,305,20132,705,1630079,0.9041601213,0,103,7749,46
87,20200813,14770,13817,305,17798,648,1622330,0.9022051188,0,56,7767,31
88,20200812,14714,13786,305,17375,623,1614563,0.9030999639,0,54,8868,57
89,20200811,14660,13729,305,17489,626,1605695,0.9047400106,0,34,8414,71
90,20200810,14626,13658,305,16396,663,1597281,0.9073724476,0,28,4032,16
91,20200809,14598,13642,305,16803,651,1593249,0.9079222090,1,36,3402,13
92,20200808,14562,13629,304,16105,629,1589847,0.9076239288,1,43,7782,86
93,20200807,14519,13543,303,17068,673,1582065,0.9093790242,1,20,8108,42
94,20200806,14499,13501,302,18031,696,1573957,0.9127731583,0,0,0,0
