Korean (ko),Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
주판,0,0,0,0,0,0,0,1
버리다,0,0,0,1,0,1,0,0
버려진,1,0,0,1,0,1,0,0
포기,1,0,0,1,0,1,1,0
대수도원장,0,0,0,0,0,0,0,1
유괴,0,0,0,1,0,1,1,0
수차,0,0,1,0,0,0,0,0
싫어하다,1,0,1,1,0,0,0,0
혐오스러운,1,0,1,1,0,0,0,0
비열한,0,0,1,0,0,0,0,0
비정상적인,0,0,1,0,0,0,0,0
폐하다,1,0,0,0,0,0,0,0
가증스러운,0,0,1,1,0,0,0,0
질색,1,0,1,1,0,0,0,0
유산,0,0,1,1,0,1,0,0
불완전한,0,0,0,0,0,1,0,0
험준한,0,0,0,0,0,0,1,0
농양,0,0,0,0,0,1,0,0
부재,0,0,0,1,0,1,0,0
없는,0,0,0,0,0,1,0,0
부재자,0,0,0,0,0,1,0,0
사면,0,0,0,0,1,0,0,1
풍부,0,1,1,0,1,0,0,1
풍부한,0,0,0,0,1,0,0,0
남용,1,0,1,1,0,1,0,0
최악의,0,0,0,0,0,1,0,0
심연,0,0,0,1,0,1,0,0
학생,0,0,0,0,0,0,0,1
가속하다,0,1,0,0,0,0,0,0
사고,0,0,0,1,0,1,1,0
우연한,0,0,0,1,0,0,1,0
우윤히,0,0,0,0,0,0,1,0
영예,0,1,0,0,1,0,1,1
반주,0,1,0,0,1,0,0,1
달하다,0,0,0,0,1,0,0,0
뛰어난,0,0,0,0,1,0,0,0
일치,0,0,0,0,0,0,0,1
계정,0,0,0,0,0,0,0,1
책임,0,0,0,0,0,0,0,1
책임감있는,0,0,0,0,0,0,0,1
회계사,0,0,0,0,0,0,0,1
공인된,0,0,0,0,0,0,0,1
정확한,0,0,0,0,0,0,0,1
저주받은,1,0,0,1,0,1,0,0
고발,1,0,1,0,0,0,0,0
고발당한,1,0,0,1,0,0,0,0
고발인,1,0,0,1,0,0,0,0
비난하는,1,0,0,1,0,0,0,0
